"RIL100";"DurchfahrtFahrweg";"AnkunftFahrweg";"AbfahrtFahrweg"
"F107A";"FKMP-FLY";"";""
"F206A";"FKMP-FLY";"";""
"F105B";"FKMP-FLY";"";""
"FLY";"FKMP-1-FKAU";"";""
"F202B";"FLY-FKAU";"";""
"F101A";"FLY-FKAU";"";""
"FKAU";"FLY-2-FLOR";"";""
"FQLO";"FKAU-2-FLOR";"";""
"F105A";"FKAU-FLOR";"";""
"F204A";"FKAU-FLOR";"";""
"FLON";"FKAU-1-FKAU";"";""
"F103A";"FKAU-2-FLOR";"";""
"F202A";"FKAU-2-FAH";"";""
"F101D";"FKAU-2-FAH";"";""
"FLOR";"FKAU-2-FAH";"";""
"F212A";"FKAU-2-FAH";"";""
"F114A";"FKAU-1-FAH";"";""
"FLOU";"FKAU-2-FAH";"";""
"F109C";"FKAU-FAH";"";""
"F208C";"FKAU-FAH";"";""
"F107C";"FKAU-2-FAH";"";""
"F206C";"FKAU-2-FAH";"";""
"FAH";"FKAU-2-FRDH";"";""
"F202G";"FAH-FRDH";"";""
"F103K";"FAH-FRDH";"";""
"FRDH";"FAH-2-FOE";"";""
"F054B";"FRDH-FGSM";"";""
"F055C";"FRDH-FGSM";"";""
"FGSM";"FRDH-1-FOE";"";""
"F043B";"FGSM-FOE";"";""
"FOE";"FRDH-1-FHAT";"";""
"FHAT";"FOE-1-FELT";"";""
"F042B";"FHAT-FELT";"";""
"F041B";"FHAT-FELT";"";""
"FERB";"FHAT-1-FELT";"";""
"FELT";"FHAT-1-FELTO";"";""
"FELTO";"FELT-11-FWS";"";""
"FNWF";"FELTO-FWS";"";""
"FWS";"FELTO-1-FWB";"";""
"FWB";"FWS-701-FWB_A";"";""
"FWB A";"FWB-2-FWO_G";"";""
"FWO G";"FWB_A-412-FWO_B";"";""
"FWO B";"FWO_B-2-FMK";"";""
"F182A";"FWO_B-FMK";"";""
"F176B";"FWO_B-FMK";"";""
"FA176";"FWO_B-FMK";"";""
"F179A";"FWO_B-FMK";"";""
"FMK";"FWO_B-2-FKOS";"";""
"F172B";"FMK-FKOS";"";""
"FA175";"FMK-FKOS";"";""
"F171B";"FMK-FKOS";"";""
"FKOS";"FMK-FMB";"";""
"FKOO";"FMK-FMB";"";""
"F718A";"FKOS-FMB";"";""
"F719A";"FKOS-FMB";"";""
"F720A";"FKOS-FMB";"";""
"FMB P";"FKOS-001-FMB_N-3520";"";""
"FMB N";"FMB_P-1-RUO";"";""
"FRUO";"FMB_N-22-FRUE";"";""
"FRUE";"FRUO-2-FRA";"";""
"FRA";"FRUE-2-FRAC";"";""
"FMOW";"FRA-FKCH";"";""
"FRAC";"FRAC-FKCH";"";""
"FBRS";"FRAC-FKCH";"";""
"F232A";"FBRS-FKCH";"";""
"F223A";"FBRS-FKCH";"";""
"FKCH";"FRA-302-312-FSP";"";""
"F522A";"FKCH-FSP";"";""
"F523A";"FKCH-FSP";"";""
"F524A";"FKCH-FSP";"";""
"F525A";"FKCH-FSP";"";""
"FSWF";"FKCH-FSP";"";""
"F527A";"FKCH-FSP";"";""
"FSP";"FKCH-504-FFOR-10-3520/3650";"";""
"FFOR";"FSP-FFS";"";""
"F066C";"FFOR-FFS";"";""
"F065C";"FFOR-FFS";"";""
"FFS";"FFOR-508-FO";"";""
"F103G";"FFS-FO";"";""
"F203B";"FFS-FO";"";""
"F104B";"FFS-FO";"";""
"F204D";"FFS-FO";"";""
"F105F";"FFS-FO";"";""
"F205A";"FFS-FO";"";""
"F106A";"FFS-FO";"";""
"F206E";"FFS-FO";"";""
"FO";"FFS-3-703-FO_G-3600";"";""
"FO  G";"FO-13-FMHO";"";""
"F567A";"FO_G-FMHO";"";""
"F576A";"FO_G-FMHO";"";""
"FMHO";"FO_G-FH_M";"";""
"F527B";"FMHO-FH  M";"";""
"F536A";"FMHO-FH_M";"";""
"F517B";"FMHO-FH_M";"";""
"F526B";"FMHO-FH_M";"";""
"FH  M";"FMHO-FH_N";"";""
"FH  N";"FH_M-7-FWFG";"";""
"FWFG";"FH_N-602-FSLB-3600";"";""
"F241A";"FWFG-FSLB";"";""
"F242A";"FWFG-FSLB";"";""
"F243A";"FWFG-FSLB";"";""
"F244A";"FWFG-FSLB";"";""
"FROD";"FWFG-3-FSLB";"";""
"F245A";"FWFG-FSLB";"";""
"F246A";"FWFG-FSLB";"";""
"F287A";"FWFG-FSLB";"";""
"F247A";"FWFG-FSLB";"";""
"F248A";"FWFG-FSLB";"";""
"FSLB";"FWFG-203-FHME-3677";"";""
"F291A";"FSLB-FHME";"";""
"F292A";"FSLB-FHME";"";""
"F295D";"FSLB-FHME";"";""
"F296B";"FSLB-FHME";"";""
"FNMI";"FSLB-FHME-3677";"";""
"F573A";"FSLB-FHME";"";""
"F574A";"FSLB-FHME";"";""
"F577A";"FSLB-FHME";"";""
"F578A";"FSLB-FHME";"";""
"FHME";"FSLB-302-FGEL-3677";"";""
"FGEL";"FHME-503-FWIR";"";""
"F596A";"FGEL-FWIR";"";""
"F592B";"FGEL-FWIR";"";""
"F593B";"FGEL-FWIR";"";""
"FHAI";"FGEL-FWIR";"";""
"F594A";"FGEL-FWIR";"";""
"F595A";"FGEL-FWIR";"";""
"F597A";"FGEL-FWIR";"";""
"FWIR";"FGEL-603-FWAE";"";""
"F772A";"FWIR-FWAE";"";""
"F773A";"FWIR-FWAE";"";""
"F774A";"FWIR-FWAE";"";""
"F775A";"FWIR-FWAE";"";""
"FWAE";"FWIR-702-FBSS";"";""
"F782A";"FWAE-FBSS";"";""
"F783A";"FWAE-FBSS";"";""
"F784A";"FWAE-FBSS";"";""
"F785A";"FWAE-FBSS";"";""
"F786A";"FWAE-FBSS";"";""
"F787A";"FWAE-FBSS";"";""
"FBSS";"FWAE-802-FSA";"";""
"F172A";"FBSS-FSA";"";""
"F173A";"FBSS-FSA";"";""
"F174A";"FBSS-FSA";"";""
"F176A";"FBSS-FSA";"";""
"F175A";"FBSS-FSA";"";""
"FSA";"FBSS-102-FSUE";"";""
"F222B";"FSA-FSUE";"";""
"F223B";"FSA-FSUE";"";""
"F224A";"FSA-FSUE";"";""
"F225A";"FSA-FSUE";"";""
"FSUE";"FSA-202-FSUEZ";"";""
"FSUEZ";"FSUE-FEL";"";""
"FEL";"FSUEZ-3-FSTZ-4";"";""
"F031C";"FEL-FSTZ";"";""
"F028B";"FEL-FSTZ";"";""
"F030C";"FEL-FSTZ";"";""
"F033C";"FEL-FSTZ";"";""
"FSTZ";"FEL-2-NJS";"";""
"F032D";"FSTZ-NJS";"";""
"F035C";"FSTZ-NJS";"";""
"F037C";"FSTZ-NJS";"";""
"F034D";"FSTZ-NJS";"";""
"F036D";"FSTZ-NJS";"";""
"F039C";"FSTZ-NJS";"";""
"YFNJ";"FSTZ-NJS";"";""
"NJS";"FFU-2-NGM";"";""
"NQJS";"NJS-NGM";"";""
"NOBS";"NJS-NGM";"";""
"N442A";"NJS-NGM";"";""
"N 42D";"NJS-NGM";"";""
"NMSN";"NJS-NGM";"";""
"N 41E";"NJS-NGM";"";""
"N 441";"NJS-NGM";"";""
"NBN";"NJS-603-NBNB";"";""
"NBNB";"NJS-403-NWH";"";""
"NMUB";"FFU-NWH";"";""
"NRB";"FFU-2-NWH";"";""
"NHW";"FFU-NWH";"";""
"NES";"FFU-NWH";"";""
"NNB";"FFU-NWH";"";""
"N 898";"FFU-NWH";"";""
"N 848";"FFU-NWH";"";""
"NWH";"FFU-15-NN";"";""
"N 126";"NWH-NF";"";""
"N 125";"NWH-NF";"";""
"N 124";"NWH-NF";"";""
"N 123";"NWH-NF";"";""
"N122A";"NWH-NF";"";""
"N121A";"NWH-NF";"";""
"N 120";"NWH-NF";"";""
"N 119";"NWH-NF";"";""
"N118A";"NWH-NF";"";""
"N117A";"NWH-NF";"";""
"NRTD";"NWH-6-NF";"";""
"N 112";"NWH-NF";"";""
"N 111";"NWH-NF";"";""
"N 110";"NWH-NF";"";""
"N 109";"NWH-NF";"";""
"NDEB";"NWH-3-NF";"";""
"N103C";"NWH-NF";"";""
"N102B";"NWH-NF";"";""
"N 152";"NWH-NF";"";""
"N101E";"NWH-NF";"";""
"N 151";"NWH-NF";"";""
"NBM";"NWH-NF";"";""
"N 100";"NWH-NF";"";""
"NKN";"NWH-3-NF";"";""
"N  92";"NWH-NF";"";""
"N  91";"NWH-NF";"";""
"NMM";"NWH-602-NF";"";""
"NI";"NWH-3-NF";"";""
"NMEI";"NWH-3-NF";"";""
"N 74A";"NWH-NF";"";""
"N 73B";"NWH-NF";"";""
"N 72C";"NWH-NF";"";""
"N 71B";"NWH-NF";"";""
"NHZM";"NWH-NF";"";""
"N 68B";"NWH-NF";"";""
"N 67B";"NWH-NF";"";""
"NMB";"NWH-2-NF";"";""
"N 58A";"NWH-NF";"";""
"N 57A";"NWH-NF";"";""
"N 56C";"NWH-NF";"";""
"N 55B";"NWH-NF";"";""
"NLD";"NWH-101-NF";"";""
"N 50B";"NWH-NF";"";""
"N 49B";"NWH-NF";"";""
"N 48B";"NWH-NF";"";""
"N 47B";"NWH-NF";"";""
"NNA";"NWH-3-NF";"";""
"NNAM";"NWH-NF";"";""
"N 40C";"NWH-NF";"";""
"N 37C";"NWH-NF";"";""
"N 38C";"NWH-NF";"";""
"N 36B";"NWH-NF";"";""
"N 35B";"NWH-NF";"";""
"N 34C";"NWH-NF";"";""
"N 33B";"NWH-NF";"";""
"NEK";"NWH-1-NF";"";""
"N 26E";"NWH-NF";"";""
"N 27D";"NWH-NF";"";""
"NHBU";"NWH-1-NF";"";""
"N 20B";"NWH-NF";"";""
"N 21C";"NWH-NF";"";""
"N 18B";"NWH-NF";"";""
"N 19A";"NWH-NF";"";""
"NPU";"NWH-NF";"";""
"N 16B";"NWH-NF";"";""
"N 15B";"NWH-NF";"";""
"NSDF";"NWH-2-NF";"";""
"N 10D";"NWH-NF";"";""
"N  9C";"NWH-NF";"";""
"NFBB";"NWH-512-NF";"";""
"N  6C";"NWH-NF";"";""
"N  3D";"NWH-NF";"";""
"N  4E";"NWH-NF";"";""
"NFUA";"NWH-401-NF";"";""
"NFUF";"NWH-NF";"";""
"N 401";"NWH-NF";"";""
"N  2G";"NWH-NF";"";""
"N  1K";"NWH-NF";"";""
"NF";"NWH-5-NF  G";"";""
"NF  G";"NF-10-NN(5900)";"";""
"N 976";"NF-NN";"";""
"N973A";"NF-NN";"";""
"NJB";"NF(5900)-71-NN(5907)";"";""
"N 952";"NF-NN";"";""
"NN";"NF(5907)-950/9-NRH 8";"";""
"N 905";"NN-NRH";"";""
"N 902";"NN-NRH";"";""
"NND";"NN-301-NRWD";"";""
"N353A";"NN-NRH";"";""
"N352A";"NN-NRH";"";""
"N 355";"NN-NRH";"";""
"N 354";"NN-NFT";"";""
"N 357";"NN-NRH";"";""
"N 356";"NN-NRH";"";""
"NRWD";"NN-3-NFT 13";"";""
"N 174";"NN-NRH";"";""
"N 175";"NN-NRH";"";""
"NFT";"NRWD-101-NRH";"";""
"NFTO";"NN-NRH";"";""
"N 24I";"NN-NRH";"";""
"N 25M";"NN-NRH";"";""
"N 22J";"NN-NRH";"";""
"N 23M";"NN-NRH";"";""
"NOK";"NN-1-NRH";"";""
"N 10G";"NN-NRH";"";""
"N  9E";"NN-NRH";"";""
"NMIM";"NN-NRH";"";""
"N  8A";"NN-NRH";"";""
"N  7B";"NN-NRH";"";""
"N  6E";"NN-NRH";"";""
"N  5D";"NN-NRH";"";""
"N  4O";"NN-NRH";"";""
"N 53E";"NN-NRH";"";""
"N  3H";"NN-NRH";"";""
"NBUT";"NN-NRH";"";""
"N  2T";"NN-NRH";"";""
"N 52C";"NN-NRH";"";""
"N  1U";"NN-NRH";"";""
"N 26I";"NN-NRH";"";""
"N 27E";"NN-NRH";"";""
"NOB";"NN-NRH";"";""
"N 24G";"NN-NRH";"";""
"N 25L";"NN-NRH";"";""
"N 22K";"NN-NRH";"";""
"N 23L";"NN-NRH";"";""
"NPOH";"NN-1-NRH";"";""
"N  4P";"NN-NRH";"";""
"N  1T";"NN-NRH";"";""
"N  2S";"NN-NRH";"";""
"N 31E";"NN-NRH";"";""
"N 28E";"NN-NRH";"";""
"N 29D";"NN-NRH";"";""
"N 26G";"NN-NRH";"";""
"N 27F";"NN-NRH";"";""
"NPG";"NN-NRH";"";""
"N 24F";"NN-NRH";"";""
"N 25H";"NN-NRH";"";""
"N 22L";"NN-NRH";"";""
"N 23K";"NN-NRH";"";""
"NNT";"NN-05-NRH";"";""
"N  4H";"NN-NRH";"";""
"N  3G";"NN-NRH";"";""
"N  2R";"NN-NRH";"";""
"N  1O";"NN-NRH";"";""
"N 24E";"NN-NRH";"";""
"N 74D";"NN-NRH";"";""
"N 25G";"NN-NRH";"";""
"N 22F";"NN-NRH";"";""
"N 23E";"NN-NRH";"";""
"NDE";"NN-NRH";"";""
"N 53A";"NN-NRH";"";""
"N  3F";"NN-NRH";"";""
"N  4G";"NN-NRH";"";""
"N  1N";"NN-NRH";"";""
"N  2P";"NN-NRH";"";""
"N 52D";"NN-NRH";"";""
"N 25F";"NN-NRH";"";""
"NBH";"NN-NRH";"";""
"N 22E";"NN-NRH";"";""
"N 23D";"NN-NRH";"";""
"NSF";"NN-1-NRH";"";""
"N  2O";"NN-NRH";"";""
"N 23F";"NN-NRH";"";""
"NPB";"NN-1-NRH";"";""
"N  2N";"NN-NRH";"";""
"N  1M";"NN-NRH";"";""
"N 24D";"NN-NRH";"";""
"N 25E";"NN-NRH";"";""
"NMSM";"NN-NRH";"";""
"N 22D";"NN-NRH";"";""
"N 23C";"NN-NRH";"";""
"NBE";"NN-1-NRH";"";""
"N  4F";"NN-NRH";"";""
"N  1P";"NN-NRH";"";""
"N  2M";"NN-NRH";"";""
"N 27C";"NN-NRH";"";""
"NLB";"NN-NRH";"";""
"N 74E";"NN-NRH";"";""
"N 24C";"NN-NRH";"";""
"N 75A";"NN-NRH";"";""
"N 25C";"NN-NRH";"";""
"N 22C";"NN-NRH";"";""
"N 23G";"NN-NRH";"";""
"NDN";"NN-NRH";"";""
"NUDF";"NN-1-NRH";"";""
"N  6B";"NN-NRH";"";""
"N  5B";"NN-NRH";"";""
"NET";"NN-NRH";"";""
"N  4D";"NN-NRH";"";""
"N  2Q";"NN-NRH";"";""
"N  3C";"NN-NRH";"";""
"NRPF";"NN-NRH";"";""
"NRH B";"NN-319/249-NRH";"";""
"NRH";"NRH B-9-NOT H2";"";""
"NROB";"NRH-1-NOT";"";""
"NBWH";"NRH-NOT";"";""
"NROS";"NRH-NOT";"";""
"NOT";"NRH-1-NPA Dwre";"";""
"NMG";"NOT-1-NPL";"";""
"N 26H";"NOT-NPL";"";""
"N 25I";"NOT-NPL";"";""
"N 24H";"NOT-NPL";"";""
"N 23H";"NOT-NPL";"";""
"N 22H";"NOT-NPL";"";""
"N 21D";"NOT-NPL";"";""
"NSUE";"NOT-1-NPL";"";""
"N 18C";"NOT-NPL";"";""
"N 17A";"NOT-NPL";"";""
"NRA";"NOT-2-NPL";"";""
"N 14C";"NOT-NPL";"";""
"N 13C";"NOT-NPL";"";""
"N 12F";"NOT-NPL";"";""
"N 11F";"NOT-NPL";"";""
"NST";"NOT-4-NPL";"";""
"N 900";"NOT-NPL";"";""
"N 901";"NOT-NPL";"";""
"N898A";"NOT-NPL";"";""
"N 899";"NOT-NPL";"";""
"NSK";"NOT-1-NPL";"";""
"N 894";"NOT-NPL";"";""
"N 895";"NOT-NPL";"";""
"N 892";"NOT-NPL";"";""
"N 893";"NOT-NPL";"";""
"NPL";"NOT-3-NPA";"";""
"N 794";"NPL-NPA";"";""
"N 795";"NPL-NPA";"";""
"N 792";"NPL-NPA";"";""
"N 793";"NPL-NPA";"";""
"N 790";"NPL-NPA";"";""
"N 791";"NPL-NPA";"";""
"NOS";"NOT-1-NPA";"";""
"N 786";"NPL-NPA";"";""
"N 787";"NPL-NPA";"";""
"NGIU";"NPL-2-NPA";"";""
"NPLG";"NPL-NPA";"";""
"N 783";"NPL-NPA";"";""
"N 782";"NPL-NPA";"";""
"N 781";"NPL-NPA";"";""
"N 780";"NPL-NPA";"";""
"NVIB";"NPL-NPA";"";""
"NVI";"NPL-2-NPA";"";""
"NSAN";"NPL-1-NPA";"";""
"N 62C";"NPL-NPA";"";""
"N 63C";"NPL-NPA";"";""
"NSI";"NPL-601-NPA";"";""
"NPA G";"NN-327-NPA";"";""
"NPA";"NN-114/5-NXPA";"";""
"NPA P";"NPA-NXPA";"";""
"NXPA";"NPA-NXPA";"";""
